ћарка; —сылка;÷ена в доларах;÷ена в гривнах;√ород
Jeep Compass 2020Longitude 2.4 9ј“ (175 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1810690.html;32 200 $;900 634 грн;ќдеса
Jeep Grand Cherokee 2018Limited 3.0TD ј“ (250 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1810691.html;55 000 $;1 538 350 грн;ќдеса
Jeep Wrangler 2018Sahara 3D 2.0i AT (272 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1810694.html;53 700 $;1 501 989 грн;ќдеса
Jeep Grand Cherokee 2020Overland 3.0TD ј“ (250 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1811781.html;59 500 $;1 664 215 грн;ќдеса
Jeep Renegade 2021Limited 1.3i 6-DCT (150 к.с);https://auto.ria.com/newauto/auto-jeep-renegade-1838198.html;25 000 $;699 263 грн; ињв
Jeep Grand Cherokee 2021Overland 3.0TD ј“ (250 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1836192.html;59 500 $;1 664 245 грн; ињв
Jeep Wrangler 2021Rubicon Unlimited 2.0i AT (272 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1838190.html;71 400 $;1 997 094 грн; ињв
Jeep Grand Cherokee 2021Limited 3.0TD ј“ (250 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1838297.html;60 000 $;1 678 230 грн; ињв
Jeep Grand Cherokee 2020Overland 3.6 AT (286 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1842428.html;54 000 $;1 510 380 грн;ќдеса
Jeep Compass 2021Longitude 2.4 9ј“ (175 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1845839.html;28 950 $;809 731 грн;ќдеса
Jeep Renegade 2020Limited 1.3i AT (180 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-renegade-1810689.html;28 500 $;797 145 грн;ќдеса
Jeep Compass 2019Longitude 2.4 9ј“ (175 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1842566.html;29 900 $;836 303 грн;ќдеса
Jeep Wrangler 2020Sport 3D 2.0i AT (272 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1842436.html;58 800 $;1 644 636 грн;ќдеса
Jeep Grand Cherokee 2021Overland 3.0TD ј“ (250 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1853604.html;59 000 $;1 685 040 грн;Ћьв≥в
Jeep Compass 2019Longitude 2.4 9ј“ (175 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1829806.html;29 900 $;853 944 грн;Ћьв≥в
Jeep Grand Cherokee 2021Overland 3.0TD ј“ (250 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1829808.html;59 000 $;1 685 040 грн;Ћьв≥в
Jeep Renegade 2019Limited 1.4 ј“ (160 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-renegade-1816627.html;34 300 $;959 388 грн; ињв
Jeep Compass 2020Trailhawk 2.4 9ј“ (175 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-compass-1816621.html;41 200 $;1 152 385 грн; ињв
Jeep Compass 2019base 1.4i (140 к.с) MT;https://auto.ria.com/newauto/auto-jeep-compass-1816105.html;35 909 $;1 004 400 грн; ињв
Jeep Grand Cherokee 2018Overland 3.0TD ј“ (250 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1815757.html;52 793 $;1 476 660 грн; ињв
Jeep Wrangler 2018Sport 3D 2.0i AT (272 к.с) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1815742.html;47 943 $;1 341 000 грн; ињв
Jeep Wrangler 2017Individual 3D 2.8TD AT (200 к.с);https://auto.ria.com/newauto/auto-jeep-wrangler-1816578.html;55 200 $;1 543 972 грн; ињв
Jeep Grand Cherokee 2019Overland 3.0TD ј“ (250 к.с);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1815751.html;55 431 $;1 550 430 грн; ињв
Jeep Renegade 2019Limited 1.4 ј“ (160 к.с);https://auto.ria.com/newauto/auto-jeep-renegade-1815750.html;30 175 $;844 000 грн; ињв
